Timestamp,Naam van de gekozen pizza,Prijs van de pizza,Smaak,Textuur ,Vouwbaarheid,Sause verhouding tot de korst,Schmakelijkheid,Kleur,Was er kaas aanwezig?,What was the cheese?,Was er genoeg?,Was er genoeg van elk?,Was het complementair met de saus,Was de pizza de moeite?,Naam,Ambiance,Bediening,Prijs / kwaliteit ,Beoordelaar ,Hoe was je dag vandaag?,Hoeveel honger had je voordat je kwam?,Hoe geil ben je?,Open tekst veld
11/8/2023 19:51:32,Donna Carmela ,23,4,4,4,3,4,Rood,Ja,Buffela,3,3,3,3,Nicoletta,3,4,3,Marti,4,4,2,
11/8/2023 19:52:58,Gustoza,23,4,4,4,5,4,Rood,Ja,"Mozerella, Gorgonzola",5,4,4,5,Nicoletta,3,3,3,Axeli,3,3,4,
11/8/2023 19:53:04,Deliziosa,22,4,4,4,3,5,Wit,Nee,,,4,5,4,Nicoletta,3,4,4,Simoni,3,4,5,
12/17/2023 20:50:28,Pancetta pompoen,"19,5",4,3,2,5,4,Wit,Ja,Geitenkaas,4,4,3,3,Graan,3,3,3,Simoni,3,3,4,
12/17/2023 20:51:40,Palmkool,19.5,2,3,2,4,4,Rood,Ja,Gorgonzola,2,3,3,3,Graan,2,3,2,Axeli,4,2,2,
12/17/2023 20:51:41,Zoete aardappel en pastinaak ,"18,50",2,2,2,4,3,Wit,Ja,Van Tricht,4,5,5,3,Graan,2,4,3,Marti,4,1,4,Mooie bediening 
3/6/2024 20:23:25,Salami al tarfuffo,22,5,5,4,3,4,Wit,Ja,Parmazan,3,5,4,4,Barbarello,2,2,4,Marti,3,4,4,Nah
3/6/2024 20:25:37,Salsiccia,20,3,5,5,4,4,Rood,Ja,Fior dit latte,3,3,4,3,Barbarello,4,4,3,Simoni,5,2,4,
3/6/2024 20:26:53,Scamorza e Jalapenis,17,4,4,5,4,3,Rood,Ja,Scamorza,3,3,2,3,Barbarello,3,2,4,Axeli,4,3,4,"Interieur had geen ziel, denk ik toch en ja wie ben ik?"
7/3/2024 20:27:29,Picantina,18,7,8,7,7,8,Rood,Ja,Ricotta,9,7,7,8,Pugliese,7,7,9,Axeli,6,8,6,
7/3/2024 20:27:40,Pizza piccanta,18,8,9,10,9,8,Rood,Ja,Ricotta,8,9,9,9,Pugliese,7,8,8,Simoni,9,7,7,
7/3/2024 20:27:50,Burata di nogwat,22,7,7,9,7,6,Rood,Ja,Buffela,8,8,7,8,Pizzeria Pugliese,7,8,7,Marti,8,7,8,Aperol hielp
10/16/2024 21:17:06,Fungi y Something Calzone,20,7,8,7,4,7,Wit,Ja,"Mozerella, Provolone ",7,6,7,7,La Pizza è Bella,3,4,6,Marti,7,8,8,Mwa
10/16/2024 21:17:14,Pizza pistachio,20,6,5,7,6,6,Wit,Ja,Mozerella,6,4,5,4,La Pizza è Bella,4,1,6,Axeli,6,5,4,Worst service this side of the taal barriere
10/16/2024 21:22:33,Diabolica,20,6,6,8,8,6,Rood,Ja,Mozerella,8,8,6,7,La Pizza è Bella,5,5,5,Simoni,7,5,7,
11/27/2024 21:38:37,Gio's,17,8,9,7,8,8,Rood,Nee,,,8,7,7,Gio pizza bar,9,8,7,Marti,6,8,6,Ik was heel laat
11/27/2024 21:41:27,Chilli my lips,16,8,9,9,8,8,Rood,Ja,Mozerella,5,8,7,8,Gio pizza bar,6,6,8,Axeli,7,8,7,
11/27/2024 21:48:07,Meet my meat,18,7,7,7,6,8,Wit,Ja,Mozerella,7,9,8,7,Gio pizza bar,7,5,8,Simoni,7,5,10,Aangebrande smaak 
